Year,Homicides 100,,,,,
1990,17.15087282,,,,,
1991,17.56466174,,,,,
1992,18.90986659,,,,,
1993,17.94894979,,,,,
1994,17.41439211,,,,,
1995,16.8766074,,,,,
1996,15.4299256,,,,,
1997,14.1997918,,,,,
1998,14.10755709,,,,,
1999,12.4880952,,,,,
2000,10.80519613,,,,,
2001,10.20952476,,,,,
2002,9.874003294,,,,,
2003,9.73762389,,,,,
2004,8.887251944,,,,,
2005,9.326794756,,,,,
2006,9.688035793,,,,,
2007,8.09485856,,,,,
2008,12.58673092,,,,,
2009,17.52009361,,,,,
2010,22.44500223,,,,,
2011,23.36959443,,,,,
2012,21.99465267,,,,,
2013,19.28382308,,,,,
2014,16.53054999,,,,,
2015,16.96678614,,,,,
2016,19.87176574,,,,,
2017,25.70902953,,,,,
2018,29.11604412,,,,,
2019,28.81799165,,,,,
2020,29.09553937,,,,,
2021,27.9724078,,,,,
2022,25.87079529,,,,,
2023,24.93950014,,,,,
2024,25.79831184,,,,,